2019/08/23 17:37:50.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:37:54.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:38:00.519 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:38:00.519 [D] [ext_timer.go:539]  结算中
2019/08/23 17:38:00.519 [D] [ext_timer.go:521]  Count:%!(EXTRA int=259)
2019/08/23 17:38:09.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:38:12.520 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:38:15.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:38:35.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:38:35.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:38:39.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:38:45.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:38:45.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:38:45.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=256)
2019/08/23 17:38:54.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:38:57.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:39:00.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:39:20.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:39:20.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:39:24.519 [D] [ext_timer.go:278]  开牌
2019/08/23 17:39:30.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:39:30.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:39:30.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=253)
2019/08/23 17:39:39.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:39:42.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:39:45.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:40:05.520 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:40:05.520 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:40:09.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:40:15.519 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:40:15.519 [D] [ext_timer.go:539]  结算中
2019/08/23 17:40:15.519 [D] [ext_timer.go:521]  Count:%!(EXTRA int=250)
2019/08/23 17:40:24.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:40:27.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:40:30.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:40:50.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:40:50.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:40:54.519 [D] [ext_timer.go:278]  开牌
2019/08/23 17:41:00.519 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:41:00.519 [D] [ext_timer.go:539]  结算中
2019/08/23 17:41:00.519 [D] [ext_timer.go:521]  Count:%!(EXTRA int=247)
2019/08/23 17:41:09.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:41:12.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:41:15.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:41:35.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:41:35.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:41:39.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:41:45.519 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:41:45.519 [D] [ext_timer.go:539]  结算中
2019/08/23 17:41:45.519 [D] [ext_timer.go:521]  Count:%!(EXTRA int=244)
2019/08/23 17:41:54.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:41:57.520 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:42:00.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:42:20.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:42:20.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:42:24.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:42:30.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:42:30.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:42:30.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=241)
2019/08/23 17:42:39.520 [D] [ext_timer.go:39]  准备中
2019/08/23 17:42:42.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:42:45.519 [D] [ext_timer.go:106]  下注中
2019/08/23 17:43:05.520 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:43:05.520 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:43:09.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:43:15.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:43:15.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:43:15.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=238)
2019/08/23 17:43:24.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:43:27.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:43:30.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:43:50.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:43:50.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:43:54.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:44:00.519 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:44:00.519 [D] [ext_timer.go:539]  结算中
2019/08/23 17:44:00.519 [D] [ext_timer.go:521]  Count:%!(EXTRA int=235)
2019/08/23 17:44:09.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:44:12.520 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:44:15.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:44:35.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:44:35.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:44:39.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:44:45.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:44:45.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:44:45.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=232)
2019/08/23 17:44:54.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:44:57.519 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:45:00.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:45:20.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:45:20.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:45:24.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:45:30.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:45:30.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:45:30.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=229)
2019/08/23 17:45:39.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:45:42.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:45:45.519 [D] [ext_timer.go:106]  下注中
2019/08/23 17:46:05.518 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:46:05.518 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:46:09.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:46:15.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:46:15.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:46:15.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=226)
2019/08/23 17:46:24.520 [D] [ext_timer.go:39]  准备中
2019/08/23 17:46:27.519 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:46:30.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:46:50.520 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:46:50.520 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:46:54.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:47:00.519 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:47:00.519 [D] [ext_timer.go:539]  结算中
2019/08/23 17:47:00.519 [D] [ext_timer.go:521]  Count:%!(EXTRA int=223)
2019/08/23 17:47:09.518 [D] [ext_timer.go:39]  准备中
2019/08/23 17:47:12.518 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:47:15.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:47:35.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:47:35.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:47:39.518 [D] [ext_timer.go:278]  开牌
2019/08/23 17:47:45.518 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:47:45.518 [D] [ext_timer.go:539]  结算中
2019/08/23 17:47:45.518 [D] [ext_timer.go:521]  Count:%!(EXTRA int=220)
2019/08/23 17:47:54.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:47:57.519 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:48:00.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:48:20.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:48:20.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:48:24.520 [D] [ext_timer.go:278]  开牌
2019/08/23 17:48:30.520 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:48:30.520 [D] [ext_timer.go:539]  结算中
2019/08/23 17:48:30.520 [D] [ext_timer.go:521]  Count:%!(EXTRA int=217)
2019/08/23 17:48:39.519 [D] [ext_timer.go:39]  准备中
2019/08/23 17:48:42.519 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:48:45.520 [D] [ext_timer.go:106]  下注中
2019/08/23 17:49:05.519 [D] [ext_timer.go:139]  停止下注
2019/08/23 17:49:05.519 [D] [ext_timer.go:214]  点杀概率%!(EXTRA float64=0.5)
2019/08/23 17:49:09.519 [D] [ext_timer.go:278]  开牌
2019/08/23 17:49:15.519 [D] [ext_timer.go:346]  派奖中
2019/08/23 17:49:15.519 [D] [ext_timer.go:539]  结算中
2019/08/23 17:49:15.519 [D] [ext_timer.go:521]  Count:%!(EXTRA int=214)
2019/08/23 17:49:24.520 [D] [ext_timer.go:39]  准备中
2019/08/23 17:49:27.519 [D] [ext_timer.go:86]  发牌中
2019/08/23 17:49:30.518 [D] [ext_timer.go:106]  下注中
2019/08/23 17:49:50.520 [D] [ext_timer.go:139]  停止下注
